GDP (constant 2000 US$),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,,,,,,,,,,2833406779,2996203998,3084549973,3118632347,3079599649,3134436354,3311132154,3285045643,3238396691,3556943168,3216343088,2264659407,2101603929,2303357907,2494536613,2826309982,3083504202,2768986763,3120648082,3435833539,3686649387,3944714844,4059111575,4290480934,4543619309,4793518372,5033194290,5330152753,5740574515,5930013474,6137563946,6321690864
Algeria,13828152297,11946771141,9595044251,12887461719,13640013825,14486635612,13790556982,15094173154,16723776097,18134139015,19741305571,17504276281,22304643652,23155159027,24890619160,26146435917,28339273834,29829518900,32578260067,35014405842,35291232178,36349967756,38676367201,40764892197,43047724737,44640489378,44819051777,44505319532,44060263881,45998916445,46366908062,45810504880,46635095028,45655757681,45244857431,46964159665,48889689496,49427476044,51948279105,53610624834,54790058957,56214597843,58856686557,62917798908,66189522629,69565187811,70956491567,73085186314,74839230786,76635372324,79164339611,81143448101
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,444795764.1,465476425.4,503411570.4,542619606.4,573108239.7,576215651.2,595252614.7,612149302.4,621105067.6,621363115.2,635087337.2,634246045.2,642151679.4,653518507.8,665181771.4,680623539.5,702766412.7,741749727.2,779536863.3,817165343.7,848065580.7,869657335.8,877738325.5,868684527.5,889386976.1,913911768.4,956406307.3,1043130113,1076455908,1120580710,1133644295,1267077320,1341509272,1432119979,1524990241,1615237069,1724910619,1749543576,1812015179,,,
Angola,,,,,,,,,,,,,,,,,,,,,,,,,,7218737860,7420862520,8007110659,8455508856,8489330892,8463862899,8362296544,7785298083,5862329456,6067510987,6698532130,7448767728,8037220379,8584134106,8862242855,9129180361,9416016124,10780448534,11137095732,12382535739,14643778507,17680168881,21674668197,24669478552,25264731265,26125663270,27013935821
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,268265360.7,279489899.3,300014434.3,325800872.8,339105677.8,339673005.3,355564228.8,390244613.4,421426377.3,475029380.7,514281883.7,542165230.6,573463792,588059029.5,600034493.1,605123888.1,637740684.1,678094522.4,649771716.4,693563480.7,727449920.1,759513521.1,790817671.3,802526700.6,820275710.9,840972692.2,883618151.9,945770280,985378773.4,1116207501,1009354032,1024206417,918245274.1,836686777.1,801787943.1
Argentina,108322326649,114201892335,113228867667,107218456504,118080005266,130560392722,129699051637,133839040988,140293429800,153873168802,158559596721,167531106544,170259210724,175046480960,184733210828,184680724265,180953402717,193500979043,184781583443,203671367615,212127318774,200058275576,190141029715,197509229313,201877686114,186561877750,201255080490,207111589518,201815943168,186687437479,182208881977,205294219094,229807939326,243382509293,257586800996,250257916577,264088895397,285509269184,296501886736,286463942700,284203745280,271673657736,242076212334,263468585945,287258675094,313626005874,340177780212,369614509411,394594682115,397949689763,434405530244,472935255184
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2819375629,2489508723,1448894008,1321391353,1392746523,1488846011,1576172796,1628518751,1747400619,1805064840,1911563665,2094244952,2370398385,2703221164,2986190081,3400246575,3849011238,4378219566,4680316716,4018052433,4102285513,4290990647
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,803532294.7,940116014.2,1024732208,1147728451,1193642719,1241360073,1291009346,1368477655,1522319480,1540994255,1660899494,1771982430,1792653581,1858659293,1845780110,1798191506,1826396959,,,,,,,,
Australia,96677859364,98950410413,100302794832,106581315165,114018332823,120858336146,123723654026,131482647086,138244569180,147986737705,158580342543,164954051790,171438741659,175937185452,183090391005,185369661015,190251053754,196878746322,198667157375,206839366822,213135433499,220398742356,227512907295,222234528537,232453957602,244380207223,255503272974,262027442116,277414269318,288343886633,298651486073,297936911238,299289734315,311518658361,323873916078,336634494329,350710609678,364642406351,381363194312,401040979796,416887521196,425523831426,442135393399,456603230864,475578723953,489651768692,504739869397,522729696645,542761040949,550622241459,563049439185,573453982173
Austria,52392699681,55294196572,56758760195,59107589568,62727547439,64910575812,68573389646,70636109983,73795177759,78426465090,82875391403,87114441714,92522385131,97047132641,100872864670,100505954054,105107564262,110372013894,110210736056,116223961464,118297013218,118126455202,120426376421,123982344406,124057574520,127104769470,130049304257,131800268995,135933234154,141217060615,147353847860,152425218284,155616277926,156436079199,160193859615,164467805621,168524640772,172415724530,178942595487,185275602636,192070749954,193717569560,196998621885,198704472152,203850083132,208743854863,216404316585,224424149682,227557455520,218887605293,223954137424,230913313559
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8954048116,8891369779,6881920209,5292196641,4249633903,3748177102,3796903404,4017123802,4418836182,4745830059,5272617196,5794606298,6408834566,7126624037,7853539689,9926874167,13351645755,16696099500,18499278246,20219711123,21230696679,21443003646
Bahamas,1306269490,1445610547,1596705340,1764743540,1950069250,2153375599,2348728284,2574161953,2790951804,3041625635,2869784437,2916461764,2814463291,3027449702,2520223836,2147151970,2258485776,2465248558,2814808937,3550580176,3781200313,3432331448,3662259850,3793993217,4331645714,4540828685,4622427375,4760384593,4870335592,5197979060,5115006358,4901107868,4713611932,4728120733,4877005299,5090557216,5305558438,5414971797,5670367524,6075465948,6327552000,6493689921,6669320175,6584970307,6643107971,6868660929,7041535773,7143393152,6977385178,6638286665,6650151639,6758471902
Bahrain,,,,,,,,,,,,,,,,,,,,,3983298875,3771518972,3486534795,3708849409,3894427038,3709119796,3752998517,4143273092,4433301953,4449439409,4646905411,5168752875,5514542261,6224264259,6208703536,6452705104,6717911631,6925696587,7257437617,7569507493,7970690894,8337342675,8775886900,9407750757,9934584799,10709482414,11427017735,12380031014,13159972968,13567932130,14178489076,
Bangladesh,12767231590,13540691011,14279069088,14213971626,15770797883,16024117621,16435426595,16127120357,17657496028,17873068964,18877509042,17843119136,15349770078,15860254341,17381563007,16670967499,17614771185,18085623890,19364971579,20294806754,20461050013,21238978734,21743716016,22616962795,23788673522,24555449226,25598704785,26554115959,27127473044,27836138078,29489968538,30474743435,32010406325,33474682526,34842024065,36558011931,38247711533,40308326777,42415457211,44480763467,47124925462,49610300682,51800799317,54523446362,57942340648,61393084272,65463038830,69670899876,73983829245,78231358239,82979485251,88507817581
Barbados,784120376,844470434.1,920985861.5,874214321.5,917967662,1022935828,1063887746,1177044296,1258517199,1353137616,1481812925,1539792152,1559406034,1580312998,1506815149,1567165345,1565871989,1634412707,1734637071,1867622971,1955993039,1893271873,1798435850,1801668965,1862234629,1871718231,2048242625,2069149588,2198471437,2309257155,2198255970,2134241585,2027982064,2048027019,2129432330,2161163704,2200799782,2341534923,2437827351,2501031836,2558850048,2429524573,2343386639,2390441631,2478549703,2557427999,2644872132,2657506213,2662289725,2521188369,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14364231695,14191860914,12829442266,11854404654,10467439310,9378825621,9641432739,10740556071,11642762781,12038616716,12736856485,13338711930,14011685603,14998555617,16715851678,18293979126,20123008725,21863108809,24103693966,24143111980,26002131603,27380244578
Belgium,68236665814,71634993490,75368611864,78648340531,84119657630,87114872497,89864126386,93340202847,97255011947,103702824530,109689339514,114061367202,120101605987,127766132692,133598986388,130972508362,138376051430,139242499720,143199627555,146552035422,153064887077,152637401921,153545574534,154024395245,157823226219,160430138974,163354398789,167122428431,175015969845,181087565789,186769011525,190192626271,193103818853,191246405183,197417872113,202125809075,205004919349,212661589175,216763650417,224436421792,232672747374,234552028142,237741668285,239659286074,247490005974,251845091555,258690550017,266243709886,268825324878,261295933962,267143096398,272271056321
